captured_at,event_id,game,team,player,position,status,injury,return_date,note
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,PHI,Justin Crawford,CF,Day-To-Day,Soreness,2026-07-16,
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,PHI,Lou Trivino,RP,15-Day-IL,Spasms,2026-07-22,
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,PHI,Tanner Banks,RP,15-Day-IL,Strain,2026-07-24,
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,PHI,Johan Rojas,CF,60-Day-IL,Surgery,2027-02-01,
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,PHI,Adolis Garcia,RF,60-Day-IL,Surgery,2027-02-01,
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,NYM,Bo Bichette,SS,Day-To-Day,Soreness,2026-07-16,
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,NYM,Luis Robert Jr.,CF,60-Day-IL,Not Specified,2026-07-18,
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,NYM,Dedniel Nunez,RP,60-Day-IL,Surgery,2026-07-18,
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,NYM,Marcus Semien,2B,10-Day-IL,Strain,2026-07-20,
2026-07-16T16:07:17.194Z,401816143,New York Mets at Philadelphia Phillies,NYM,Austin Warren,RP,15-Day-IL,Strain,2026-08-01,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,PHI,Justin Crawford,CF,Day-To-Day,Soreness,2026-07-16,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,PHI,Lou Trivino,RP,15-Day-IL,Spasms,2026-07-22,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,PHI,Tanner Banks,RP,15-Day-IL,Strain,2026-07-24,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,PHI,Johan Rojas,CF,60-Day-IL,Surgery,2027-02-01,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,PHI,Adolis Garcia,RF,60-Day-IL,Surgery,2027-02-01,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,NYM,Bo Bichette,SS,Day-To-Day,Soreness,2026-07-16,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,NYM,Luis Robert Jr.,CF,60-Day-IL,Not Specified,2026-07-18,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,NYM,Dedniel Nunez,RP,60-Day-IL,Surgery,2026-07-18,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,NYM,Marcus Semien,2B,10-Day-IL,Strain,2026-07-20,
2026-07-16T17:37:25.678Z,401816143,New York Mets at Philadelphia Phillies,NYM,Austin Warren,RP,15-Day-IL,Strain,2026-08-01,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,PHI,Justin Crawford,CF,Day-To-Day,Soreness,2026-07-16,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,PHI,Lou Trivino,RP,15-Day-IL,Spasms,2026-07-22,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,PHI,Tanner Banks,RP,15-Day-IL,Strain,2026-07-24,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,PHI,Johan Rojas,CF,60-Day-IL,Surgery,2027-02-01,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,PHI,Adolis Garcia,RF,60-Day-IL,Surgery,2027-02-01,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,NYM,Bo Bichette,SS,Day-To-Day,Soreness,2026-07-16,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,NYM,Luis Robert Jr.,CF,60-Day-IL,Not Specified,2026-07-18,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,NYM,Dedniel Nunez,RP,60-Day-IL,Surgery,2026-07-18,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,NYM,Marcus Semien,2B,10-Day-IL,Strain,2026-07-20,
2026-07-16T18:44:43.851Z,401816143,New York Mets at Philadelphia Phillies,NYM,Austin Warren,RP,15-Day-IL,Strain,2026-08-01,
2026-07-16T19:47:18.358Z,401816143,New York Mets at Philadelphia Phillies,PHI,Lou Trivino,RP,15-Day-IL,Spasms,2026-07-22,
